id,site_id,carrier_id,tt_weight
119,6,19,0.5
120,6,20,0.5
121,7,1,0.5
122,7,2,0.5
123,7,3,0.5
124,7,4,0.5
125,7,5,0.5
126,7,6,0.5
127,7,7,0.5
128,7,8,0.5
129,7,9,0.5
130,7,10,0.5
131,7,11,0.5
132,7,12,0.5
133,7,13,0.5
134,7,14,0.5
135,7,15,0.5
136,7,16,0.5
137,7,17,0.5
138,7,18,0.5
139,7,19,0.5
140,7,20,0.5
141,8,1,0.5
142,8,2,0.5
143,8,3,0.5
144,8,4,0.5
145,8,5,0.5
146,8,6,0.5
147,8,7,0.5
148,8,8,0.5
149,8,9,0.5
150,8,10,0.5
151,8,11,0.5
152,8,12,0.5
153,8,13,0.5
154,8,14,0.5
155,8,15,0.5
156,8,16,0.5
157,8,17,0.5
158,8,18,0.5
159,8,19,0.5
160,8,20,0.5
161,9,1,0.5
162,9,2,0.5
163,9,3,0.5
164,9,4,0.5
165,9,5,0.5
166,9,6,0.5
167,9,7,0.5
168,9,8,0.5
169,9,9,0.5
170,9,10,0.5
171,9,11,0.5
172,9,12,0.5
173,9,13,0.5
174,9,14,0.5
175,9,15,0.5
176,9,16,0.5
177,9,17,0.5
178,9,18,0.5
179,9,19,0.5
180,9,20,0.5
181,10,1,0.5
182,10,2,0.5
183,10,3,0.5
184,10,4,0.5
185,10,5,0.5
186,10,6,0.5
187,10,7,0.5
188,10,8,0.5
189,10,9,0.5
190,10,10,0.5
191,10,11,0.5
192,10,12,0.5
193,10,13,0.5
194,10,14,0.5
195,10,15,0.5
196,10,16,0.5
197,10,17,0.5
198,10,18,0.5
199,10,19,0.5
200,10,20,0.5
201,11,1,0.5
202,11,2,0.5
203,11,3,0.5
204,11,4,0.5
205,11,5,0.5
206,11,6,0.5
207,11,7,0.5
208,11,8,0.5
209,11,9,0.5
210,11,10,0.5
211,11,11,0.5
212,11,12,0.5
213,11,13,0.5
214,11,14,0.5
215,11,15,0.5
216,11,16,0.5
217,11,17,0.5
218,11,18,0.5
219,11,19,0.5
220,11,20,0.5
221,12,1,0.5
222,12,2,0.5
223,12,3,0.5
224,12,4,0.5
225,12,5,0.5
226,12,6,0.5
227,12,7,0.5
228,12,8,0.5
229,12,9,0.5
230,12,10,0.5
231,12,11,0.5
232,12,12,0.5
233,12,13,0.5
234,12,14,0.5
235,12,15,0.5
236,12,16,0.5
237,12,17,0.5
238,12,18,0.5
239,12,19,0.5
240,12,20,0.5
241,13,1,0.5
242,13,2,0.5
243,13,3,0.5
244,13,4,0.5
245,13,5,0.5
246,13,6,0.5
247,13,7,0.5
248,13,8,0.5
249,13,9,0.5
250,13,10,0.5
251,13,11,0.5
252,13,12,0.5
253,13,13,0.5
254,13,14,0.5
255,13,15,0.5
256,13,16,0.5
257,13,17,0.5
258,13,18,0.5
259,13,19,0.5
260,13,20,0.5
261,14,1,0.5
262,14,2,0.5
263,14,3,0.5
264,14,4,0.5
265,14,5,0.5
266,14,6,0.5
267,14,7,0.5
268,14,8,0.5
269,14,9,0.5
270,14,10,0.5
271,14,11,0.5
272,14,12,0.5
273,14,13,0.5
274,14,14,0.5
275,14,15,0.5
276,14,16,0.5
277,14,17,0.5
278,14,18,0.5
279,14,19,0.5
280,14,20,0.5
281,15,1,0.5
282,15,2,0.5
283,15,3,0.5
284,15,4,0.5
285,15,5,0.5
286,15,6,0.5
287,15,7,0.5
288,15,8,0.5
289,15,9,0.5
290,15,10,0.5
291,15,11,0.5
292,15,12,0.5
293,15,13,0.5
294,15,14,0.5
295,15,15,0.5
296,15,16,0.5
297,15,17,0.5
298,15,18,0.5
299,15,19,0.5
300,15,20,0.5
301,16,1,0.5
302,16,2,0.5
303,16,3,0.5
304,16,4,0.5
305,16,5,0.5
306,16,6,0.5
307,16,7,0.5
308,16,8,0.5
309,16,9,0.5
310,16,10,0.5
311,16,11,0.5
312,16,12,0.5
313,16,13,0.5
314,16,14,0.5
315,16,15,0.5
316,16,16,0.5
317,16,17,0.5
318,16,18,0.5
319,16,19,0.5
320,16,20,0.5
321,17,1,0.5
322,17,2,0.5
323,17,3,0.5
324,17,4,0.5
325,17,5,0.5
326,17,6,0.5
327,17,7,0.5
328,17,8,0.5
329,17,9,0.5
330,17,10,0.5
331,17,11,0.5
332,17,12,0.5
333,17,13,0.5
334,17,14,0.5
335,17,15,0.5
336,17,16,0.5
337,17,17,0.5
338,17,18,0.5
339,17,19,0.5
340,17,20,0.5
341,18,1,0.5
342,18,2,0.5
343,18,3,0.5
344,18,4,0.5
345,18,5,0.5
346,18,6,0.5
347,18,7,0.5
348,18,8,0.5
349,18,9,0.5
350,18,10,0.5
351,18,11,0.5
352,18,12,0.5
353,18,13,0.5
354,18,14,0.5
355,18,15,0.5
356,18,16,0.5
357,18,17,0.5
358,18,18,0.5
359,18,19,0.5
360,18,20,0.5
361,19,1,0.5
362,19,2,0.5
363,19,3,0.5
364,19,4,0.5
365,19,5,0.5
366,19,6,0.5
367,19,7,0.5
368,19,8,0.5
369,19,9,0.5
370,19,10,0.5
371,19,11,0.5
372,19,12,0.5
373,19,13,0.5
374,19,14,0.5
375,19,15,0.5
376,19,16,0.5
377,19,17,0.5
378,19,18,0.5
379,19,19,0.5
380,19,20,0.5
